code,code_name,ipoDate,industry,website,total_share,market_cap,price,pe,pb,roe,eps,bps,cash,short_term_borrowing,gross_profit_margin,net_profit,operating_expense,research_and_development,operating_cash_flow,investment_cash_flow,financing_cash_flow
sh.600467,好当家,2004-04-05,A04渔业,https://www.sdhaodangjia.com,1460994304,4032344320,2.76,92,1.1789833,1.26%,0.03,2.341,414493565.4,2173990724.97,16%,45805838.12,58925236.73,5798486.81,588126685.11,-702757020.84,48608512.07
sh.600468,百利电气,2001-06-15,C38电气机械和器材制造业,https://www.benefo.tj.cn,1087735321,9419787264,8.66,,4.691224,-5.56%,-0.12,1.846,836843047.11,401178917.17,24%,-101013340.11,358075636.95,101966864.59,190261675.81,-35169860.11,-76524310.78
sh.600469,风神股份,2003-10-21,C29橡胶和塑料制品业,https://www.aeolustyre.com,890034812,6426051072,7.22,22.5625,1.4945146,6.62%,0.32,4.831,912752414.49,,17%,280943347.34,664003634.79,290714902.51,200880313.78,-151727229.04,-319967891.75
sh.600470,六国化工,2004-03-05,C26化学原料和化学制品制造业,https://www.liuguo.com,521600000,4626591744,8.87,,2.8438601,-7.94%,-0.42,3.119,1325153940.54,1327439108.15,9%,67216093.43,482261620.71,206826922.89,388600816.92,-417814989.44,17541839.49
sh.600475,华光环能,2003-07-21,N77生态保护和环境治理业,https://www.hghngroup.com,955965729,19817168896,20.73,35.135593,2.255958,7.28%,0.59,9.189,2511364818.02,1474274770.31,19%,926748004.42,949236385.47,221777814.84,1028448507.34,-743150159.13,-557114523.3
sh.600476,湘邮科技,2003-12-10,I65软件和信息技术服务业,https://www.copote.com,161070000,2053642496,12.75,,18.085106,-8.57%,-0.06,0.705,128504415.49,261319656.24,16%,13192229.08,86015950.73,8297075.47,-63178539.08,22385503.7,7232914.25
sh.600477,杭萧钢构,2003-11-10,C33金属制品业,https://www.hxss.com.cn,2358968436,8044082176,3.41,68.2,1.5831013,1.75%,0.05,2.154,446795531.82,3979014531.75,16%,162930999.23,899904627.64,416375605,-765416501.56,-528180683.01,1012961324.68
sh.600478,科力远,2003-09-18,C38电气机械和器材制造业,https://www.corun.com,1665540916,12824664064,7.7,64.166664,4.4176707,4.69%,0.12,1.743,1648006768.24,1718722880.59,14%,46804685.76,371676153.02,52632103.32,516095255.45,-232531526.16,-187936048.58
sh.600479,千金药业,2004-03-12,C27医药制造业,https://www.qjyy.com,492210016,5384777216,10.94,17.934425,1.8303496,9.02%,0.61,5.977,1344478170.13,11895347.72,46%,302608701.01,1382458057.18,220204530.81,398766454.6,-741182522.06,-250121320.23
sh.600480,凌云股份,2003-08-15,C36汽车制造业,https://www.lingyun.com.cn,1222284427,13029552128,10.66,17.193548,1.6721568,10.61%,0.62,6.375,3447068831.14,816662314.36,18%,950120480.78,2108232268.07,801767276.75,2240954148.08,-567952676.2,-1580586315.06
sh.600481,双良节能,2003-04-22,C34通用设备制造业,https://www.shuangliang.com,2064161830,14696832000,7.12,,3.095652,-26.50%,-0.71,2.3,6080735908.33,7106866337.51,-2%,-2141039639.33,755713978.92,260659080.29,-1026804.16,-131121056.86,-1354682715.79
sh.600482,中国动力,2004-07-14,C37铁路、船舶、航空航天和其他运输设备制造业,https://www.china-csicpower.com.cn,2253600835,71461675008,31.71,39.637497,1.7806603,7.38%,0.8,17.808,37754452221.79,1500254635.55,15%,2552703003.18,5148628772.92,2443403290.46,14401605183.69,-2775674171.68,-2940580908.88
sh.600483,福能股份,2004-05-31,D44电力、热力生产和供应业,https://www.fjec.com.cn,2780137800,29969883136,10.77,10.074765,1.1164043,12.05%,1.07,9.656,5645206897.15,710539699.52,27%,3482331999.01,483059340.22,143261058.12,4685236653.65,-2590332508.03,-2308058600.15
sh.600486,扬农化工,2002-04-25,C26化学原料和化学制品制造业,https://www.yangnongchem.com,405325293,32730015744,80.75,26.302933,2.8865058,11.38%,3.07,27.975,1618026888.46,1192466869.74,23%,1202955662.56,1028625505.52,358164915.26,2155313038.76,-2193228099.7,171695335.03
sh.600487,亨通光电,2003-08-22,C38电气机械和器材制造业,https://www.htgd.com.cn,2466734657,115689857024,46.9,39.745766,3.7245872,9.25%,1.18,12.592,11918463338.73,7583292678.82,13%,2970360437.52,4034198479.38,1741785134.75,3262089066.89,-1660682473.39,-1062837976.47
sh.600488,津药药业,2001-06-18,C27医药制造业,https://www.tjpcty.com,1091886680,4618680832,4.23,211.5,1.5276272,2.11%,0.02,2.769,638455967.29,108576306.93,45%,208212548.19,1146121680.43,204492012.31,569371797.9,-76186640.45,-617516931.05
sh.600489,中金黄金,2003-08-14,B09有色金属矿采选业,https://zjgold.chinagoldgroup.com,4847312564,140765954048,29.04,31.912088,4.821518,16.94%,0.91,6.023,10978262688.04,8284696947.58,15%,4203559477.72,3843888781.36,730499775.7,7890175064.67,-2522147018.27,-2689185783.27
sh.600490,鹏欣资源,2003-06-26,C32有色金属冶炼和压延加工业,https://www.pengxinzy.com.cn,2212887079,18234187776,8.24,68.666664,2.8730822,4.18%,0.12,2.868,839333943.72,544705349.73,5%,-192611031.01,419114414.12,,-512993130.14,695847558.42,-192893225.77
sh.600491,龙元建设,2004-05-24,E48土木工程建筑业,https://www.lycg.com.cn,1529757955,4742249472,3.1,,0.48331773,-4.76%,-0.39,6.414,1298668344.28,3983151834.22,21%,-615459894.11,491142681.1,125727407.51,1423205087.61,11973701.06,-1716312974.14
sh.600493,凤竹纺织,2004-04-21,C17纺织业,https://www.fynex.com.cn,272000000,2108000000,7.75,387.5,1.8756051,0.56%,0.02,4.132,137074106.49,91581134,12%,53174057.64,104074675,23261829.46,6140525.87,-25647259.48,-66006119.68
sh.600495,晋西车轴,2004-05-26,C37铁路、船舶、航空航天和其他运输设备制造业,https://www.jinxiaxle.com,1208190886,5738906624,4.75,158.33334,1.7560074,1.20%,0.03,2.705,698435920.65,,12%,23075815.65,174266537.99,77209111.93,16153531.2,182073449.62,-14498290.63
sh.600496,精工钢构,2002-06-05,C33金属制品业,https://www.600496.com,1990125173,8458032128,4.25,14.655173,0.9040629,6.86%,0.29,4.701,5200925142.94,946958021.23,13%,526733539.57,1388368491.32,681679216.21,771312205.21,-338995614.62,-257732587.17
sh.600497,驰宏锌锗,2004-04-20,C32有色金属冶炼和压延加工业,https://chxz.chinalco.com.cn,5040380483,46724329472,9.27,40.304348,2.7871318,5.82%,0.23,3.326,961176705,611992195.21,18%,1276567046.84,1552336717.97,130240423.76,2365754608.33,-1703041578.95,-1191257899.71
sh.600498,烽火通信,2001-08-23,C39计算机、通信和其他电子设备制造业,https://en.fiberhome.com,1358167482,68723269632,50.6,71.26761,4.1377053,5.08%,0.71,12.229,5243756897.63,5079857945.81,21%,710199920.29,4547169904.65,2881250416.51,4638175919.21,-1003374324.94,-3651471292.96
sh.600499,科达制造,2002-10-10,C35专用设备制造业,https://www.kedagroup.com,1917856391,31778879488,16.57,21.51948,2.5136528,15.59%,0.77,6.592,2952032300,1017927000,26%,1288455200,1880048700,344182600,557204600,-2013248900,225695800
sh.600500,中化国际,2000-03-01,C26化学原料和化学制品制造业,https://www.sinochemintl.com,3588306303,17187987456,4.79,,1.5638263,-20.38%,-1.02,3.063,3152102829.84,606923968.05,2%,-3088230177.81,2592777513.58,668815282.82,1162886259.38,-836560355.43,1061216853.06
sh.600501,航天晨光,2001-06-15,C35专用设备制造业,https://www.aerosun.cn,427824200,10396127232,24.3,,6.0327706,-16.42%,-0.76,4.028,316926005.23,589170427.62,4%,-391138063.95,416633799.15,169259425.97,-1037795407.51,-15282530.07,426580647.7
sh.600502,安徽建工,2003-04-15,E48土木工程建筑业,https://www.aceg.com.cn,1716533938,8445346816,4.92,7.130435,0.7575058,7.02%,0.69,6.495,18409682961.9,16633947992.89,12%,2029352009.7,5065453846.69,2144623740.66,1214636231.3,-9917858740.59,11051757909.8
sh.600503,华丽家族,2002-07-09,K70房地产业,https://www.deluxe-family.com,1602290000,4117885440,2.57,,1.1587015,-1.91%,-0.04,2.218,772373869.21,,41%,-41311733.02,173048410.19,591604.63,-223691637.81,-75612226.78,198004382
sh.600505,西昌电力,2002-05-30,D44电力、热力生产和供应业,https://www.scxcdlgfyxgs.cn,364567500,5238834688,14.37,359.25,4.29468,0.34%,0.04,3.346,200107147.22,50039722.22,20%,-6572091.02,169096746.77,486407.76,244720245.88,-29775234.35,-223589719.3
sh.600506,统一股份,2001-12-26,C25石油、煤炭及其他燃料加工业,https://www.tongyioil.com,192018934,4320425984,22.5,80.35714,9.007206,8.99%,0.28,2.498,203379899.59,408454799.05,20%,31387579.76,379313333.2,44603126.32,427924483.79,27592548,-542858905.6
sh.600507,方大特钢,2003-09-30,C31黑色金属冶炼和压延加工业,https://www.fangda-specialsteels.com/web/index.aspx,2313187890,15220775936,6.58,17.783783,1.4853274,8.50%,0.37,4.43,5941030340.02,251756004.12,5%,252103837.7,609741810.76,103942645.44,876007090.46,-151309887.05,-731636477.17
sh.600508,上海能源,2001-08-29,B06煤炭开采和洗选业,https://www.sdtny.com,722718000,9785602048,13.54,28.80851,0.76363426,2.30%,0.47,17.731,2704463608.98,,22%,664572907.87,1087675354.17,62319527.52,1276503895.17,-1202530844.08,-589786722.21
sh.600509,天富能源,2002-02-28,D44电力、热力生产和供应业,https://www.tfny.com,1374397407,12864359424,9.36,103.99999,1.6545871,1.53%,0.09,5.657,2180524210.05,1431256000,17%,257073004.36,484571330.92,17839511.36,1876355126.94,-4722689386.45,3289444224.31
sh.600510,黑牡丹,2002-06-18,K70房地产业,https://www.blackpeony.com,1032025457,9123105792,8.84,88.4,0.87611496,3.00%,0.1,10.09,3435957558.44,1002724852.11,35%,311541232.7,339292633.04,29574984.19,561912690.69,222469070.97,-1095981231.41
sh.600511,国药股份,2002-11-27,F51批发业,https://www.cncm.com.cn,754502998,22808625152,30.23,11.322097,1.2641659,11.00%,2.67,23.913,10885676736.04,485059852.9,7%,2129780565.04,1457722456.43,73707682.75,1659119523.82,-2583710083.68,-1582333426.35
sh.600512,腾达建设,2002-12-26,E48土木工程建筑业,https://www.tengdajs.com,1593810979,4112032000,2.58,129,0.655821,0.56%,0.02,3.934,2598828223.09,,12%,24822739.57,400894710.26,148294836.7,-91149947.48,486738990.29,-440396861.05
sh.600513,联环药业,2003-03-19,C27医药制造业,https://www.lhpharma.com,285456270,6145873408,21.53,,4.6033783,-1.74%,-0.15,4.677,227719824.05,697720594.62,49%,106414745.34,923321006.69,154589086.68,10765772.16,-184832598.42,109941964.02
sh.600515,海南机场,2002-08-06,K70房地产业,https://www.hnport.com,11425309602,44558708736,3.9,130,1.8922852,1.26%,0.03,2.061,4988512519,21294065,41%,437915052.52,1109203857.76,,-781968753.13,-909358256.75,-333942076.57
sh.600516,方大炭素,2002-08-30,C30非金属矿物制品业,https://www.fdtsgs.com,4025970368,26531145728,6.59,329.5,1.536847,-0.05%,0.02,4.288,5455024332.33,540804238.65,14%,141390493.24,516070836.36,57392504.47,639281366,-461354185.21,-907555126.8
sh.600517,国网英大,2003-10-10,J69其他金融业,https://www.gwydgf.com,5718435744,41287106560,7.22,17.609756,1.7827159,11.61%,0.41,4.05,7144502855.54,8055924263.14,42%,2056387495.41,1861108856.46,301597075.82,4346894200.34,-2089785326.44,-787958301.1
sh.600518,康美药业,2001-03-19,C27医药制造业,https://www.kangmei.com.cn,13828896690,25860036608,1.87,inf,3.596154,0.27%,0,0.52,977841602.98,15827647.79,15%,12082198.72,741374879.83,51456445.7,-427632757.3,139915003.22,174814613.48
sh.600519,贵州茅台,2001-08-27,C15酒、饮料和精制茶制造业,https://www.moutaichina.com,1252270215,1820788391936,1453.99,20.247738,7.0849266,36.31%,71.81,205.223,59295822956.89,,92%,89334728025.9,42078257600.92,218375472.87,92463692168.43,-1785202630.71,-71067506484.81
sh.600520,三佳科技,2002-01-08,C35专用设备制造业,https://www.chinatrinity.com,158430000,4307712000,27.19,453.1667,11.0979595,2.42%,0.06,2.45,105515864.78,15000000,24%,21871212.6,56656733.51,14471080.21,57932794.98,-59236964.6,-89979521.1
sh.600521,华海药业,2003-03-04,C27医药制造业,https://www.huahaipharm.com,1497252136,23881170944,15.95,49.84375,2.5643086,4.79%,0.32,6.22,1536570418.11,2110004519.44,62%,1107463116.83,4089215106.72,986685361.64,2172663923.81,-1920276022.21,-132912066.27
sh.600522,中天科技,2002-10-24,C38电气机械和器材制造业,https://www.ztt.cn,3412949652,96006275072,28.13,33.488094,2.6072853,7.88%,0.84,10.789,17014946454.71,2266873513.38,14%,2828941314.26,3657033292.51,1943531597.03,4130470815.93,-883160723.76,-1496573442.32
sh.600523,贵航股份,2001-12-27,C36汽车制造业,https://www.gzghgf.com,404311320,5975721472,14.78,33.590908,1.9088209,5.91%,0.44,7.743,475421324.23,50000000,23%,183070540.81,379195398.52,155907712.11,8209796.85,-85439652.77,-9918841.05
sh.600525,ST长园,2002-12-02,C38电气机械和器材制造业,https://www.cyg.com,1318780152,7279666688,5.52,,1.9001721,-27.06%,-0.95,2.905,1517610684.8,1810813555.25,31%,-1045587361.49,2317230336.28,869919627.72,455128519.74,-147395868.09,33774134.56
sh.600526,菲达环保,2002-07-22,C35专用设备制造业,https://www.feidaep.com,888702840,5047832064,5.68,18.32258,1.0753502,6.12%,0.31,5.282,1547344843.38,763502792.66,23%,252433710.01,551255779.92,175728357.69,1041407661.56,-1602941011.6,206604640.08
sh.600527,江南高纤,2003-11-27,C28化学纤维制造业,https://www.jngx.cn,1731760902,4485260800,2.59,129.5,2.1422663,1.33%,0.02,1.209,155833549.65,3671402.35,12%,38072353.47,51477790.3,29596091.08,267214199.69,-206469299.05,-103715738.62
sh.600528,中铁工业,2001-05-28,C35专用设备制造业,https://www.crhic.cn,2221551588,19016482816,8.56,13.806452,0.76599556,5.08%,0.62,11.175,6897340856.12,121000000,19%,1732956571.9,3588812238.14,1789023859.75,644615900.57,-288207132.6,-243513512.44
sh.600529,山东药玻,2002-06-03,C30非金属矿物制品业,https://www.pharmglass.com,663614113,12986928128,19.57,18.817308,1.5657253,8.46%,1.04,12.499,1073778650.87,,33%,689626040.66,543765411.36,174795365.98,576924963.36,-148592430.43,-376750003.57
sh.600530,交大昂立,2001-07-02,C14食品制造业,https://www.onlly.com.cn,774920000,4362799616,5.63,187.66667,13.698297,8.59%,0.03,0.411,142495461.96,20024444.44,30%,35586216.27,75854489.74,5229212.21,63379035.09,-3147550.81,-79452231.04
sh.600531,豫光金铅,2002-07-30,C32有色金属冶炼和压延加工业,https://www.yggf.com.cn,1209262698,17570586624,14.53,21.05797,2.719446,15.76%,0.69,5.343,1487887291.18,4986653105.49,6%,807448428.41,499418826.26,268073752.29,741872382.43,-808559117.5,318727370.09
sh.600533,栖霞建设,2002-03-28,K70房地产业,https://www.chixia.com,1050000000,2814000128,2.68,,0.87324864,-20.72%,-0.71,3.069,1711112654.52,170166222.23,20%,-991172558.24,355058469,,-354823066.03,228204660.2,-884610375.8
sh.600535,天士力,2002-08-23,C27医药制造业,https://www.taslypharma.com,1493950005,21348544512,14.29,19.31081,1.7350656,8.98%,0.74,8.236,2993557964.21,699540797.49,67%,859055585.04,4211413215.15,830069862.22,2014559042.35,-940874871.91,-2453891687.45
sh.600536,中国软件,2002-05-17,I65软件和信息技术服务业,https://www.css.com.cn,933786584,37762326528,40.44,,10.6786375,0.75%,-0.2,3.787,2578925721.96,951997654.18,37%,-308649464.17,2215124950.91,1202496755.21,626243362.22,141077125.58,-154769499.41
sh.600537,亿晶光电,2003-01-23,C38电气机械和器材制造业,https://www.egingpv.com,1183715018,4048305664,3.42,,18,-160.25%,-1.47,0.19,1036121820.85,271452415.2,-10%,-2438100864.56,288939207.03,38530901.4,32239387.69,-175327600.13,-306024453.47
sh.600538,国发股份,2003-01-14,F51批发业,https://www.gofar.com.cn,524198348,3160915968,6.03,,4.0964675,-9.08%,-0.15,1.472,144837656.13,954570.35,26%,-91913424.7,97484913.9,8223333.89,1948339.03,-7950804.57,-3738194.52
sh.600539,狮头股份,2001-08-24,F52零售业,https://www.lionhead.com.cn,230000000,2854299904,12.41,,9.5168705,-5.77%,-0.09,1.304,133419368.99,59054404.16,33%,-21204247.78,154012595.78,,-46070385.46,55061601.57,16354865.59
sh.600540,新赛股份,2004-01-07,A01农业,https://www.xinsai.com.cn,581376960,3156876800,5.43,,7.24,-43.37%,-0.4,0.75,1068543479.14,3455053130.8,-4%,-260813593.08,66081715.95,580895.2,-1435733073.42,-52105317.42,1663905602.72
sh.600543,莫高股份,2004-03-24,C15酒、饮料和精制茶制造业,https://www.mogao.com,321120000,1695513728,5.28,,2.208281,-9.50%,-0.24,2.391,123426641.19,39913597.26,15%,-52750694.38,96648211.26,2349351.98,-49283821.54,87438242.56,23762783.84
sh.600545,卓郎智能,2003-12-03,C35专用设备制造业,https://saurer.com,1787912222,7527110144,4.21,,2.3559039,-7.02%,-0.14,1.787,302648000,987649000,18%,-137616000,797765000,250590000,-58782000,-42757000,-181103000
sh.600546,山煤国际,2003-07-31,B06煤炭开采和洗选业,https://www.smgjny.com,1982456140,23908421632,12.06,19.451614,1.4598718,8.57%,0.62,8.261,6426423438.91,,32%,3158240837.51,4280247712.07,492946805.23,3740741867.9,-1901755650.79,-2215483256.87
sh.600547,山东黄金,2003-08-28,B09有色金属矿采选业,https://www.sdhjgf.com.cn,3614443347,200255340544,43.44,44.326527,6.582815,11.02%,0.98,6.599,11077274906.35,26269496757.73,17%,4439134082.28,5069535876.95,770411080.33,13339797529.06,-22800866386.85,11003954286.27
sh.600548,深高速,2001-12-25,G54道路运输业,https://www.sz-expressway.com,1790356127,23196004352,9.14,20.311113,0.9920764,4.36%,0.45,9.213,2908582010.43,2573849184.49,32%,1218212936.03,540487152.07,32930598.54,3717306471.14,-36145580.97,-2807275595.44
sh.600549,厦门钨业,2002-11-07,C32有色金属冶炼和压延加工业,https://www.cxtc.com,1587585826,93365919744,58.81,43.88806,5.5633335,9.26%,1.34,10.571,6974036054.48,2581287065.09,18%,2705556685.66,2760964403.96,1456154880.81,3098647105.57,-3326278266.72,2632102585.67
sh.600550,保变电气,2001-02-28,C38电气机械和器材制造业,https://www.twbb.com.cn,1841528480,30698278912,16.66,185.22221,39.22353,23.02%,0.09,0.425,1176310907.43,1240500000,16%,116508208.6,500987746.52,89864745.58,263284457.78,-62102821.49,4245509.46
sh.600551,时代出版,2002-09-05,R86新闻和出版业,https://www.press-mart.com,678055239,5722785792,8.44,13.836064,0.9763998,7.23%,0.61,8.644,3330441684.46,311220223.06,10%,405058327.03,463270445.24,35088128.96,709288927.62,-29616372.97,-536359040.06
sh.600552,凯盛科技,2002-11-08,C39计算机、通信和其他电子设备制造业,https://www.triumphltd.cn,944606894,12449918976,13.18,77.52941,2.928889,4.33%,0.17,4.5,300003025.4,1872274629.73,17%,194529443.71,488458452.4,292754786.03,144439539.79,-732155684.96,512761530.75
sh.600556,天下秀,2001-08-07,I64互联网和相关服务,https://www.inmyshow.com,1807747642,11370732544,6.29,629,2.955827,0.40%,0.01,2.128,1552079180.81,372701936.11,17%,43353527.01,554255863.51,80622431.75,154169699.41,-237844335.79,-659368119.57
sh.600557,康缘药业,2002-09-18,C27医药制造业,https://www.kanion.com,566158806,8333857280,14.72,30.040815,1.7677436,5.68%,0.49,8.327,2195076101.94,,73%,380923009.12,2467760334.12,638103967.37,702488204.31,-14692100.28,-502123078.98
sh.600558,大西洋,2001-02-27,C33金属制品业,https://chinaweldings.com,897604831,5466413568,6.09,26.478262,2.298113,9.54%,0.23,2.65,466225111.59,84412585.21,15%,174298507.17,310096715.46,88043257.82,257237546.57,-44470971.92,-134410311.06
sh.600559,老白干酒,2002-10-29,C15酒、饮料和精制茶制造业,https://www.hengshuilaobaigan.net,914747444,13849276416,15.14,21.94203,2.6252818,12.21%,0.69,5.767,1545761309.42,,66%,787098492.78,2516679963.43,15944904.64,535470778.51,-243067492.5,-410678038.68
sh.600560,金自天正,2002-09-19,C35专用设备制造业,https://www.aritime.com,223645500,3533598976,15.8,65.833336,3.6616454,5.82%,0.24,4.315,167108989.19,,28%,57327963.86,114314339.91,45954642.44,-77764733.58,128832097.71,-5978611.17
sh.600561,江西长运,2002-07-16,G54道路运输业,https://www.jxcy.com.cn,284476800,2022630144,7.11,711,2.2330403,1.11%,0.01,3.184,367316485.24,1425592352.72,-6%,23541408.26,-172190526.51,,335042588.84,-182334757.47,2523417.09
sh.600562,国睿科技,2003-01-28,C39计算机、通信和其他电子设备制造业,https://www.glaruntech.com,1241857840,32747790336,26.37,51.705887,5.0343647,10.14%,0.51,5.238,1130286275.32,175322828.91,36%,633271823.96,407470283.05,213587619.59,-304817217.57,11624004.61,-137866570.79
sh.600563,法拉电子,2002-12-10,C39计算机、通信和其他电子设备制造业,https://www.faratronic.com,225000000,26525249536,117.89,22.980507,4.63222,21.28%,5.13,25.45,327073546.28,24587145.37,33%,1042372782.1,369554214.35,166670807.86,1258335086.51,-1101585019.31,-417146499.92
sh.600566,济川药业,2001-08-22,C27医药制造业,https://www.jumpcan.com,921344260,24544610304,26.64,14.8,1.7453973,11.83%,1.8,15.263,6669362743.71,787146589.98,79%,2536706331.49,3933609356.5,444781764.51,2176437015.78,-2039916527.35,-1205140554.8
sh.600567,山鹰国际,2001-12-18,C22造纸和纸制品业,https://www.shanyingintl.com,6307453306,10722671616,1.7,,0.49722144,-5.00%,-0.17,3.419,3302735128.6,13463726927.85,7%,-494227818.25,1692925686.86,836416237.41,3621303570.23,-223169809.66,-3062660721.07
sh.600568,ST中珠,2001-05-18,Q84卫生,https://www.zz600568.com,1992869681,6098181120,3.06,,3.4420698,-28.31%,-0.28,0.889,403740148.14,,13%,-625170460.76,213807434.93,11962063.14,32627606.84,60275389.13,-121166863.01
sh.600569,安阳钢铁,2001-08-20,C31黑色金属冶炼和压延加工业,https://www.aysteel.com.cn,2872421386,7382122496,2.57,,2.7052631,-18.94%,-0.36,0.95,5115399888.91,5062400000,-5%,-3376573365.28,1978889703.03,1013943424.03,-1305435678.04,-1131749918.53,1318666832
sh.600570,恒生电子,2003-12-16,I65软件和信息技术服务业,https://www.hundsun.com,1894130907,51463536640,27.17,49.399998,5.742972,11.67%,0.55,4.731,2277324647.14,258057992.79,72%,1040404420.55,3785140956.78,2458468971.1,867929234.22,-594889692.33,-407569443.78
sh.600571,信雅达,2002-11-01,I65软件和信息技术服务业,https://www.sunyard.com,466318309,6873531904,14.74,70.190475,5.735409,7.55%,0.21,2.57,187710696.87,20315726.79,26%,78006992.97,478481179.98,254094826.05,1272019.22,140114456.97,-106088853.3
sh.600572,康恩贝,2004-04-12,C27医药制造业,https://www.conbapharm.com,2536675041,11313570816,4.46,15.928572,1.5945656,10.18%,0.28,2.797,1322105051.79,210558710.71,53%,658354872.86,2748206503.32,300020328.41,1012529326.14,-211504338.22,-1914885857.37
sh.600573,惠泉啤酒,2003-02-26,C15酒、饮料和精制茶制造业,https://www.hqbeer.com,250000000,3137500160,12.55,38.030304,2.2797456,6.19%,0.33,5.505,1255991263.64,82000000,31%,65081703.68,168808020.25,25086232.3,132640854.34,-181833117.6,45557194.35
sh.600575,淮河能源,2003-03-28,G55水上运输业,https://www.wjwlg.com,7166792170,28595501056,3.99,21,1.2598673,5.88%,0.19,3.167,2748873669.77,1294995833.33,6%,915299958.86,786090000.42,179590631.22,2756754472.38,-1960833012.81,-597539735.81
sh.600576,祥源文旅,2003-02-20,N78公共设施管理业,https://www.600576.com,1054548440,6833473536,6.48,36,2.3003197,7.05%,0.18,2.817,208486912.27,145799488.99,49%,159372471.77,197156106.06,14582755.22,236292083.59,-673351578.22,127988047.44
sh.600577,精达股份,2002-09-11,C38电气机械和器材制造业,https://www.jingda.cn,2149266059,30777491456,14.32,51.142857,5.0440297,10.53%,0.28,2.839,1117554428.04,3566506403.52,6%,576965894.85,394926279.95,107011930.95,-589153155.66,-429576540.04,684047072.14
sh.600578,京能电力,2002-05-10,D44电力、热力生产和供应业,https://www.jingnengpower.com,6694621015,36552630272,5.46,11.142857,1.5384616,12.40%,0.49,3.549,3513017573.21,9236538449.73,13%,2287395984.26,1562341394.8,124502605.26,6123425793.25,-3836083965.4,-3444934502.41
sh.600579,中化装备,2002-08-09,C35专用设备制造业,https://www.kraussmaffei.ltd,493600759,4358494720,8.83,,2.6580372,-58.29%,-2.33,3.322,283378357.38,249931698.19,21%,-2099319267.57,2486464943.52,306168315.38,241465414.72,-248112307.3,-653401660.36
sh.600580,卧龙电驱,2002-06-06,C38电气机械和器材制造业,https://www.wolong.com.cn,1562117511,62187900928,39.81,63.19048,5.7905455,8.73%,0.63,6.875,3187218328.25,2315957961.9,24%,832255294.18,2661172835.72,642191222.45,1537649271.89,-1704879912.71,392525631.54
sh.600581,八一钢铁,2002-08-16,C31黑色金属冶炼和压延加工业,https://www.bygt.com.cn,1532897870,4384088064,2.86,,-9.196141,-14466.64%,-0.57,-0.311,1394345624.33,6236855569.84,-2%,-1750798655.45,957873512.77,700953910.08,1588842055.45,-1751475490.74,-146686079.8
sh.600582,天地科技,2002-05-15,C35专用设备制造业,https://www.tdtec.com,4138588892,25576478720,6.18,9.22388,1.0027584,13.33%,0.67,6.163,14062296683.19,321112199.13,31%,3446104890.24,5651139423.68,2188374068.14,5106002372.17,-7294739596.98,-1929420241.96
sh.600583,海油工程,2002-02-05,B11开采专业及辅助性活动,https://www.cnoocengineering.com,4421354800,31966396416,7.23,15.717391,1.1844692,7.28%,0.46,6.104,6067042200,,12%,2186293300,1469535700,1227337300,3850248600,-3104655000,-775629000
sh.600584,长电科技,2003-06-03,C39计算机、通信和其他电子设备制造业,https://www.jcetglobal.com/,1789414570,80058408960,44.74,53.903618,2.842801,5.10%,0.83,15.738,9341911915.9,1637660932.39,13%,1612030058.42,2804209324.04,1718310061.41,5834047323.92,-6262023298.61,2414422893.76
sh.600585,海螺水泥,2002-02-07,C30非金属矿物制品业,https://www.conch.cn,3999702579,134072344576,25.3,15.240964,0.7012778,4.40%,1.66,36.077,70229347994,5748688099,22%,7663200170,11056431249,1257067679,18476252523,-13326237630,-385476174
sh.600586,金晶科技,2002-08-15,C30非金属矿物制品业,https://www.cnggg.cn,1417337700,8603240448,6.08,,1.5429589,-9.14%,-0.36,3.934,1707798228.19,1046107447.71,14%,49071043.32,554784537.76,184555987.33,624757528.72,-392240687.13,-161993074.46
sh.600587,新华医疗,2002-09-27,C35专用设备制造业,https://www.shinva.net,606644549,9402990592,15.5,22.463768,1.2008057,6.25%,0.69,12.908,2944731578.33,900609472.27,26%,691896980.12,1710185229.29,436083724.78,450733485.54,-318705574.47,-407130141.64
sh.600588,用友网络,2001-05-18,I65软件和信息技术服务业,https://www.yonyou.com,3416997409,44557643776,13.04,,6.01476,-21.11%,-0.6,2.168,6423911477,4358424849,48%,-2069832998,5782115982,2121782482,-273649390,-1108126857,287578803
sh.600589,大位科技,2001-06-12,I65软件和信息技术服务业,https://www.dwdate.com,1484669890,15663267840,10.55,351.6667,22.025053,6.78%,0.03,0.479,173929829.71,20011680.56,12%,-21685845.22,109476279.14,16521546.13,24595548.09,37157756.8,-58894256.99
sh.600590,泰豪科技,2002-07-03,C38电气机械和器材制造业,https://www.tellhow.com,852869750,11982820352,14.05,,3.7466667,-15.68%,-0.87,3.75,1260535793.95,2632817848.87,17%,-940991131.36,701459855.38,378541118.37,31498452.85,370165915.19,-428115012.04
sh.600592,龙溪股份,2002-08-05,C34通用设备制造业,https://www.ls.com.cn,399553571,8742232064,21.88,115.15789,3.437549,3.94%,0.19,6.365,423516099.87,44588299.31,22%,142847457.53,231345005.4,128112903.35,345341339.85,-28278496.7,-224644293.76
